id,templateId,teamId,actorProfileId,eventType,description,metadata,createdAt
f6ccc0e6-0658-4c73-b6c1-0af5758c02e2,3ba24f17-c2bc-410e-b297-4539d9355ea7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-07 00:29:15.504+00
04974b32-95d1-424b-a89e-b4c153547284,3ba24f17-c2bc-410e-b297-4539d9355ea7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-07 00:29:18.449+00
96889ada-ada0-44fb-95cf-07ce4a6846e6,3ba24f17-c2bc-410e-b297-4539d9355ea7,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 1}",2026-07-07 00:29:18.935+00
7c250f7a-1d15-45b3-8d5f-f4d8ed47916f,21f52cbc-bade-450a-a5a5-0f649625cecf,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,version_created,Versão 2.0 criada a partir da versão 1.0,"{""versionNumber"": 2, ""sourceTemplateId"": ""3ba24f17-c2bc-410e-b297-4539d9355ea7""}",2026-07-07 14:50:43.738+00
79cbe1b7-72ff-44c6-9965-7d40f6be77e9,21f52cbc-bade-450a-a5a5-0f649625cecf,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 2}",2026-07-07 14:51:06.227+00
2ee7c7f1-943c-4a3c-ba55-f10cfa42d652,21f52cbc-bade-450a-a5a5-0f649625cecf,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 2}",2026-07-07 14:51:38.67+00
790623a7-beb7-4ff2-b252-8b5f2bd2e4b1,21f52cbc-bade-450a-a5a5-0f649625cecf,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,published,Template publicado,"{""versionNumber"": 2}",2026-07-07 14:51:39.112+00
2a65f8ae-5199-49ac-807b-1fa92c00b07d,b584e88d-4c9d-492e-8b6d-2eefc3a12b37,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,created,Template criado,"{""versionNumber"": 1}",2026-07-07 15:38:39.75+00
10d601d3-8789-4b38-9376-06d7523bde71,b584e88d-4c9d-492e-8b6d-2eefc3a12b37,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-07 20:25:31.68+00
ee17fb8b-763a-460b-b769-d3fa2b7f6b56,b584e88d-4c9d-492e-8b6d-2eefc3a12b37,32ccdbe1-627f-4fe3-a506-056b997ed89b,b0737bfd-7bea-493b-8cfc-14946fcea8cd,draft_saved,Rascunho salvo,"{""versionNumber"": 1}",2026-07-07 20:25:33.87+00
