id,formId,publicationId,questionId,visitorSessionId,eventType,eventKey,origin,createdAt
6ebe5b74-d4bb-4736-825a-10942a290019,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb,question_viewed,970e7ad3-3166-448a-b8eb-eeed4ee0e3bb:question_viewed:a5cd15f6-fb19-4db2-a6b8-ac74b2c4245c,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-20 22:59:42.015+00
5257f768-1975-4538-9511-3d3e5570bfe5,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,e088788e-9ee8-4f65-af62-ab0a9ab7b826,question_viewed,e088788e-9ee8-4f65-af62-ab0a9ab7b826:question_viewed:a5cd15f6-fb19-4db2-a6b8-ac74b2c4245c,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-21 01:45:09.504+00
fbc4a1c8-f52e-4d2c-8fa3-6675af15c407,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,e088788e-9ee8-4f65-af62-ab0a9ab7b826,question_answered,e088788e-9ee8-4f65-af62-ab0a9ab7b826:question_answered:a5cd15f6-fb19-4db2-a6b8-ac74b2c4245c,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-21 01:47:57.615+00
94765f18-341b-4e7d-9758-d922fc10561d,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,f29a81b4-82e4-4843-95d8-ca599fbcc30f,question_viewed,f29a81b4-82e4-4843-95d8-ca599fbcc30f:question_viewed:a5cd15f6-fb19-4db2-a6b8-ac74b2c4245c,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-22 00:47:30.384+00
92165d33-9854-4372-b824-2329f11d7355,e1397c97-d109-4fd0-b1e0-7f5e287e4976,cdebe2f4-981a-48f8-b7b8-e5b84ae05b40,,f29a81b4-82e4-4843-95d8-ca599fbcc30f,question_answered,f29a81b4-82e4-4843-95d8-ca599fbcc30f:question_answered:a5cd15f6-fb19-4db2-a6b8-ac74b2c4245c,"{""source"": ""direct"", ""landingUrl"": ""https://hom.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-22 00:47:38.659+00
c7809f5c-6897-4117-a82c-87af2ad28a10,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,,3a008af3-c254-4109-8a71-21f993ee98bf,form_viewed,3a008af3-c254-4109-8a71-21f993ee98bf:form_viewed:form,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:34:50.914+00
95fba98c-5bea-46a9-9edf-5a7c0e356fae,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,030f4305-e559-4480-92b9-875370b627e5,3a008af3-c254-4109-8a71-21f993ee98bf,question_viewed,3a008af3-c254-4109-8a71-21f993ee98bf:question_viewed:030f4305-e559-4480-92b9-875370b627e5,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:35:13.932+00
3c64cb96-acbf-4b60-8488-cea290a49650,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,,3a008af3-c254-4109-8a71-21f993ee98bf,form_started,3a008af3-c254-4109-8a71-21f993ee98bf:form_started:form,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:35:14.046+00
c6ea8630-14da-42cb-b720-6115b9387379,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,030f4305-e559-4480-92b9-875370b627e5,3a008af3-c254-4109-8a71-21f993ee98bf,question_answered,3a008af3-c254-4109-8a71-21f993ee98bf:question_answered:030f4305-e559-4480-92b9-875370b627e5,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:35:19.982+00
15b9fc95-e502-4b55-8ad2-aadf8c553aa4,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,3a008af3-c254-4109-8a71-21f993ee98bf,question_viewed,3a008af3-c254-4109-8a71-21f993ee98bf:question_viewed:f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:35:20+00
d67940cb-3029-40f6-8995-3ce874cae2b9,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,cb0311f2-c770-4050-bb84-58d7fc3562a2,3a008af3-c254-4109-8a71-21f993ee98bf,question_viewed,3a008af3-c254-4109-8a71-21f993ee98bf:question_viewed:cb0311f2-c770-4050-bb84-58d7fc3562a2,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:35:27.111+00
82819408-15fd-423b-8b7f-2e34f239aa71,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,3a008af3-c254-4109-8a71-21f993ee98bf,question_answered,3a008af3-c254-4109-8a71-21f993ee98bf:question_answered:f2d8022b-37bd-4d90-88c3-fb14b08bc6d8,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:35:27.19+00
29029d46-7427-4fad-8328-46fdaaa5278b,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,4aab1125-ab2d-4d14-872e-668024d19e09,3a008af3-c254-4109-8a71-21f993ee98bf,question_viewed,3a008af3-c254-4109-8a71-21f993ee98bf:question_viewed:4aab1125-ab2d-4d14-872e-668024d19e09,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:35:34.013+00
df7f776e-5917-4258-b019-20008b100f5f,e1397c97-d109-4fd0-b1e0-7f5e287e4976,c5802753-ca84-48d3-a331-38363c21d494,cb0311f2-c770-4050-bb84-58d7fc3562a2,3a008af3-c254-4109-8a71-21f993ee98bf,question_answered,3a008af3-c254-4109-8a71-21f993ee98bf:question_answered:cb0311f2-c770-4050-bb84-58d7fc3562a2,"{""source"": ""direct"", ""landingUrl"": ""https://www.corretorstudio.com/forms/14f173bb-684a-460a-8a96-4a5e5c1b494f""}",2026-07-27 18:35:34.008+00
