id,profileId,status,consentVersion,consentedAt,declinedAt,dismissedAt,source,createdAt,updatedAt
f41cf5e9-46da-4cce-a7ff-a948338907ff,0ece46cd-9571-4f7f-8043-c1f2249b6cf9,accepted,1.0,2026-07-13 19:59:09.362+00,,,login_prompt,2026-07-13 19:59:09.363+00,2026-07-13 19:59:09.363+00
960cd643-83b6-4b76-b33b-abb757669f27,9378bd85-5226-4d0b-ad20-0444d71b19fc,declined,1.0,,2026-07-15 14:16:16.509+00,,login_prompt,2026-07-15 14:16:16.51+00,2026-07-15 14:16:16.51+00
1b8551c2-e721-48c7-9078-7a30c5e5a2db,4c1d6869-b323-4864-80a4-fe459ed57fe7,accepted,1.0,2026-07-15 14:27:51.149+00,,,login_prompt,2026-07-15 14:27:51.15+00,2026-07-15 14:27:51.15+00
d555cb04-6abc-47f3-98af-85ab38472669,e667a43d-c03d-4aa3-8917-d746a0582759,accepted,1.0,2026-07-16 14:12:20.309+00,,,login_prompt,2026-07-16 14:12:20.31+00,2026-07-16 14:12:20.31+00
0d081cc8-ff73-4ce4-b87d-dcd9f22f6c96,7d593222-6286-4f16-9e99-8204ad0b8c93,dismissed,1.0,,,2026-07-16 17:59:52.724+00,login_prompt,2026-07-16 17:59:52.725+00,2026-07-16 17:59:52.725+00
55ffbb07-f80a-45e5-8ad3-8ff604431009,08c65746-17f1-487e-b488-17cea01e4b51,dismissed,1.0,,,2026-07-17 17:49:42.59+00,login_prompt,2026-07-17 17:49:42.591+00,2026-07-17 17:49:42.591+00
5a701156-6ea8-4f60-8c56-ab6c754dc296,0e2a45ad-2133-4d3e-822a-b61d069d1e56,dismissed,1.0,,,2026-07-20 13:19:12.191+00,login_prompt,2026-07-01 18:36:37.809+00,2026-07-20 13:19:12.192+00
af0e7758-12b6-4f10-a2c1-1390ce6ddd37,8396bd66-e3ed-4593-b985-3e380cd308eb,dismissed,1.0,,,2026-07-20 13:34:15.611+00,login_prompt,2026-07-13 13:11:21.776+00,2026-07-20 13:34:15.612+00
f30ac378-90a5-4ac8-8944-24d878a1315e,2b693dc7-4ed1-41ec-8c1e-2ba37cc6ce45,declined,1.0,,2026-07-21 10:33:48.066+00,,login_prompt,2026-07-21 10:33:48.067+00,2026-07-21 10:33:48.067+00
6e56ea32-6775-4dbc-bf74-c755ede3d803,a3983ca7-5f03-4e34-a252-34966166750b,dismissed,1.0,,,2026-07-21 15:12:18.787+00,login_prompt,2026-07-13 17:42:27.973+00,2026-07-21 15:12:18.788+00
7e62d756-4d26-4e66-bc1e-a671b7c17574,9446c620-debd-44d9-bab5-d30947d6ce1b,dismissed,1.0,,,2026-07-21 15:47:06.431+00,login_prompt,2026-07-14 14:59:58.253+00,2026-07-21 15:47:06.432+00
e8731ea2-5375-422b-b42b-96efb750b6d5,5b023c7d-ec7f-4508-bd45-f33933846592,accepted,1.0,2026-07-21 15:55:03.182+00,,,login_prompt,2026-07-21 15:55:03.183+00,2026-07-21 15:55:03.183+00
4be4e1c8-4e60-4b53-b613-12d4225f15b9,a204e374-ff36-435a-9c05-b1b51c28b638,accepted,1.0,2026-07-22 00:25:29.972+00,,,login_prompt,2026-07-22 00:25:29.973+00,2026-07-22 00:25:29.973+00
9398745e-0388-452c-9286-6dbef330a4d2,deb4b717-b1e3-4989-ada1-2baf4643e314,declined,1.0,,2026-07-22 11:48:24.199+00,,login_prompt,2026-07-14 14:48:44.351+00,2026-07-22 11:48:24.201+00
fb5fa2a8-b57a-4d51-8d8d-3bc76878b0f5,c3d45b33-11c7-49bc-abfa-62a13f1f957a,dismissed,1.0,,,2026-07-22 13:19:27.785+00,login_prompt,2026-07-22 13:19:27.786+00,2026-07-22 13:19:27.786+00
f591e668-dd54-42da-8d9f-ec5735b6c3f9,3dd22c56-67d0-4ce5-abfe-d8d784d2d709,accepted,1.0,2026-07-22 14:37:58.34+00,,,login_prompt,2026-07-22 14:37:58.341+00,2026-07-22 14:37:58.341+00
f4df1607-b991-422b-8e1c-36d3af46818f,c2a61703-bb90-4f67-939d-e89a7d3b68f9,accepted,1.0,2026-07-24 17:37:11.718+00,,,login_prompt,2026-07-24 17:37:11.719+00,2026-07-24 17:37:11.719+00
f0d5b50b-9b3a-4648-b134-498186ab125c,f94a3014-2ada-4aea-958e-49294fe7dc16,accepted,1.0,2026-07-24 17:59:33.381+00,,,login_prompt,2026-07-24 17:59:33.382+00,2026-07-24 17:59:33.382+00
94e5caf8-bccf-4679-9ca1-db506a3cf6ee,8794ad67-aa37-4f98-b1d3-bfd19ceaebf5,accepted,1.0,2026-07-24 19:31:13.042+00,,,settings_sheet,2026-07-24 19:24:34.618+00,2026-07-24 19:31:13.043+00
5e936207-63c1-4b3d-949a-fb500fec11d1,34d5a729-8a6b-4412-8cf4-6b0003e7e6bc,dismissed,1.0,,,2026-07-27 12:57:27.142+00,login_prompt,2026-07-27 12:57:27.145+00,2026-07-27 12:57:27.145+00
6133f4c8-1a0e-434b-a1b3-a88ed8f13030,193d76db-5754-4d89-b93d-862b0b7a0e48,declined,1.0,,2026-07-27 13:56:45.871+00,,login_prompt,2026-07-27 13:56:45.872+00,2026-07-27 13:56:45.872+00
6a899887-7324-4997-8cd1-bb052393dc24,687c435a-65db-4384-9def-f04e812ed0af,accepted,1.0,2026-07-27 17:11:17.323+00,,,login_prompt,2026-07-27 17:11:17.325+00,2026-07-27 17:11:17.325+00
